id,product_id,product,tags,subcategory,lot_no,BPA_ng_g,BPA_percentile_ng_g,BPA_ng_serving,BPA_percentile_ng_serving,BPA_percent_tdi_14_kg_epa,BPA_percent_tdi_70_kg_epa,BPA_percent_tdi_14_kg_efsa,BPA_percent_tdi_70_kg_efsa
8144401,304,Seventh Generation Free & Clean Fragrance-Free Handwash,"personal_care,soap",personal_care,11070AM15 22:51,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RfD,NO RfD,NO TDI,NO TDI
8154401,304,Seventh Generation Free & Clean Fragrance-Free Handwash,"personal_care,soap",personal_care,11070AM15 22:51,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RfD,NO RfD,NO TDI,NO TDI
8154402,304,Seventh Generation Free & Clean Fragrance-Free Handwash,"personal_care,soap",personal_care,11070AM15 22:51,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RfD,NO RfD,NO TDI,NO TDI
7090411,79,Ito En Oi Ocha Unsweetened Green Tea,"tea,beverages",tea,4:49,<1,<LOQ,<370,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091001,136,Whole Foods Non-Organic Broccoli,"produce,groceries,organic,vegetables",produce,,<1,<LOQ,<88,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091002,8,Whole Foods Organic Broccoli,"produce,groceries,organic,vegetables",produce,,<1,<LOQ,<88,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091201,26,Clover Organic Whole Milk in Whole Gallon Jug,"dairy,cow_milk,cow_milk_from_store,milk,organic,plastic,whole_milk",dairy,08:15 PT9 SL 06499,<1,<LOQ,<240,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091202,27,Clover Organic Whole Milk in Half Gallon Carton,"dairy,carton,cow_milk,cow_milk_from_store,milk,organic,whole_milk",dairy,72 06-499,<1,<LOQ,<240,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091203,28,Straus Organic Whole Milk in Glass,"dairy,cow_milk,cow_milk_from_store,glass,milk,organic,whole_milk",dairy,10:03:58,<1,<LOQ,<240,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091301,51,Gerber Baby Food Banana in Glass,"baby_food,baby,food,glass",baby_food,4008515911 US00634,<1,<LOQ,<113,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091302,52,Gerber Baby Food Organic Carrot in Glass,"baby_food,baby,food,glass,organic",baby_food,4100515911 US00284,<1,<LOQ,<113,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091303,53,Gerber Baby Food Carrot Puree in Plastic,"baby_food,baby,food,plastic",baby_food,40135157K US7600 13:35,<1,<LOQ,<113,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091304,54,Happy Baby Baby Food Organic Carrot in Glass,"baby_food,baby,food,glass,organic",baby_food,101410947 152629/24956.02/15:01,<1,<LOQ,<113,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091401,57,Almond Breeze Original Almond Milk Unsweetened in Carton,"dairy_alternatives,lactose_free,milk,plant_milk",dairy_alternatives,06:44 #06-16681 2,<1,<LOQ,<240,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091402,58,Oatly Oatmilk Full Fat Chilled in Carton,"dairy_alternatives,lactose_free,milk,plant_milk",dairy_alternatives,UT 22:37C,<1,<LOQ,<240,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091501,64,Whole Foods Boneless Beef Ribeye Steak Pasture Raised,"meat,beef,beef_from_store,groceries",meat,,<1,<LOQ,<85,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091502,65,Whole Foods Boneless Beef Ribeye Steak Grass Fed,"meat,beef,beef_from_store,groceries",meat,,<1,<LOQ,<85,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
7091601,81,Driscoll's Non-Organic Strawberries,"produce,fruits,groceries,organic",produce,,<1,<LOQ,<140,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
